,Birth_rate,Business_Tax_Rate,Co2_Emmissions,Days_to_Start_Business,Ease_of_business,Energy_Usage,GDP,Health_Exp_percent_gdp,Health_exp_capita,Hours_to_tax,Infant_Mortality_Rate,Internet_Usage,Lending_Interest,Life_Expectancy_Female,Life_Expectancy_Male,Mobile_Phone_Usage,Population_0_14,Population_15_64,Population_65_plus,Population_Total,Population_Urban,Tourism_Inbound,Tourism_Outbound,pop
0,0.02,47.4,87931.0,34.142857142857146,117.14285714285714,26998.0,54790058957.0,0.035,60.0,309.0,0.034,0.0,0.1,71.0,67.0,0.0,0.342,0.619,0.039,31719449.0,0.599,102000000.0,193000000.0,1.0
1,0.05,46.12857142857143,9542.0,35.285714285714285,112.28571428571429,7499.0,9129594819.0,0.034,22.0,327.0,0.128,0.0,1.032,47.0,44.0,0.0,0.476,0.499,0.025,13924930.0,0.324,34000000.0,146000000.0,1.0
2,0.043,49.22857142857144,1617.0,49.857142857142854,142.71428571428572,1983.0,2359122303.0,0.043,15.0,237.85714285714286,0.09,0.0,0.12442857142857143,57.0,53.0,0.0,0.454,0.517,0.029,6949366.0,0.383,77000000.0,50000000.0,1.0
3,0.027,36.214285714285715,4276.0,47.42857142857143,141.57142857142858,1836.0,5788311645.0,0.047,152.0,233.14285714285714,0.054,0.0,0.155,52.0,49.0,0.1,0.383,0.587,0.029,1755375.0,0.532,227000000.0,209000000.0,0.999
4,0.046,75.75714285714285,1041.0,39.0,142.71428571428572,17274.85714285714,2610959139.0,0.051,12.0,222.28571428571428,0.096,0.0,0.11771428571428573,52.0,49.0,0.0,0.468,0.505,0.028,11607944.0,0.178,23000000.0,30000000.0,1.0010000000000001
5,0.042,42.18571428571429,301.0,82.0,132.28571428571428,19258.571428571428,870486066.0,0.063,7.0,183.14285714285714,0.092,0.0,0.158,49.0,47.0,0.0,0.49,0.481,0.029,6674286.0,0.082,1400000.0,14000000.0,1.0
6,0.041,46.74285714285715,3432.0,50.0,112.28571428571429,6310.0,9287367569.0,0.044,26.0,333.2857142857143,0.093,0.0,0.22,53.0,51.0,0.0,0.453,0.513,0.034,15927713.0,0.455,132000000.0,241000000.0,1.0
7,0.039,38.857142857142854,268.0,46.142857142857146,128.71428571428572,21859.571428571428,914500332.0,0.043,11.0,233.85714285714286,0.113,0.0,0.22,45.0,42.0,0.0,0.423,0.537,0.04,3638316.0,0.376,5000000.0,33000000.0,1.0
8,0.051,45.800000000000004,176.0,43.285714285714285,123.85714285714286,20872.714285714286,1385058212.0,0.063,10.0,257.42857142857144,0.106,0.0,0.22,48.0,46.0,0.0,0.49,0.482,0.028,8301151.0,0.216,14000000.0,56000000.0,1.0
9,0.039,40.15714285714286,84.0,75.71428571428571,135.14285714285714,21955.14285714286,201899884.0,0.035,13.0,302.2857142857143,0.073,0.0,0.12,59.0,56.0,0.5285714285714286,0.415,0.554,0.031,528312.0,0.281,15000000.0,8242857.142857143,1.0
10,0.048,42.74285714285715,1646.0,29.285714285714285,132.28571428571428,16679.0,19088046305.0,0.048,14.0,297.57142857142856,0.115,0.0,0.152,48.0,45.0,0.0,0.464,0.507,0.028,46949244.0,0.351,110285714.28571428,34000000.0,0.9990000000000001
11,0.039,45.1,1049.0,49.142857142857146,142.14285714285714,814.0,3219910666.0,0.021,22.0,217.57142857142858,0.077,0.0,0.22,53.0,51.0,0.0,0.419,0.545,0.036,3126204.0,0.587,12400000.0,59000000.0,1.0
12,0.038,48.60000000000001,6791.0,31.857142857142858,145.28571428571428,6734.0,10417060605.0,0.065,42.0,307.2857142857143,0.1,0.0,0.08842857142857143,47.0,46.0,0.0,0.421,0.55,0.029,16131332.0,0.435,53000000.0,291000000.0,1.0
13,0.03,69.71428571428571,403.0,109.14285714285714,109.57142857142857,13280.57142857143,551230862.0,0.058,44.0,268.57142857142856,0.08,0.0,0.11285714285714286,59.0,55.0,0.0,0.414,0.556,0.03,722887.0,0.765,8100000.0,14800000.0,1.0
14,0.025,41.957142857142856,141326.0,29.714285714285715,108.0,40658.0,99838540997.0,0.054,79.0,371.57142857142856,0.036,0.0,0.132,71.0,66.0,0.0,0.354,0.592,0.053,66136590.0,0.428,4657000000.0,1206000000.0,0.999
15,0.04,37.957142857142856,455.0,31.428571428571427,112.28571428571429,21717.0,1045998534.0,0.024,57.0,145.42857142857142,0.099,0.0,0.22,49.0,46.0,0.0,0.426,0.537,0.037,518179.0,0.388,5000000.0,19000000.0,1.0
16,0.04,40.457142857142856,609.0,83.0,112.85714285714286,708.0,706370812.0,0.045,7.0,254.0,0.058,0.0,0.12700000000000003,58.0,54.0,0.2857142857142857,0.47,0.512,0.018,3939348.0,0.176,36000000.0,53300000.0,1.0
17,0.044,39.457142857142856,5831.0,49.57142857142857,140.28571428571428,25242.0,8091384891.0,0.043,5.0,256.14285714285717,0.09,0.0,0.109,53.0,51.0,0.0,0.466,0.503,0.031,66024199.0,0.147,205000000.0,80000000.0,1.0
18,0.034,45.67142857142858,1052.0,128.0,141.71428571428572,1463.0,5067865503.0,0.029,118.0,235.85714285714286,0.056,0.0,0.22,61.0,59.0,0.1,0.406,0.535,0.059,1225527.0,0.801,99000000.0,183000000.0,1.0
19,0.045,33.24285714285714,275.0,29.142857142857142,123.0,12382.142857142857,782913866.0,0.045,29.0,111.14285714285714,0.063,0.0,0.24,56.0,54.0,0.0,0.459,0.514,0.027,1228863.0,0.479,551857142.8571428,230428571.42857143,1.0
20,0.035,42.6,6289.0,39.857142857142854,141.71428571428572,7736.0,4982849054.0,0.048,13.0,291.85714285714283,0.065,0.0,0.12571428571428572,58.0,56.0,0.0,0.414,0.556,0.03,18825034.0,0.439,357000000.0,162000000.0,1.0
21,0.042,55.87142857142857,1280.0,42.714285714285715,142.42857142857142,21812.571428571428,2995360969.0,0.056,19.0,339.2857142857143,0.103,0.0,0.194,51.0,51.0,0.0,0.44,0.525,0.034,8746128.0,0.31,7800000.0,13000000.0,0.9990000000000001
22,0.042,35.9,147.0,35.57142857142857,121.14285714285714,3330.0,361858968.0,0.049,16.0,219.28571428571428,0.109,0.0,0.07814285714285715,53.0,50.0,0.5857142857142856,0.435,0.534,0.031,1273312.0,0.367,449571428.5714286,171000000.0,1.0
23,0.039,47.728571428571435,10418.0,30.285714285714285,148.57142857142858,14055.0,12705350153.0,0.047,19.0,380.57142857142856,0.069,0.0,0.223,54.0,52.0,0.0,0.442,0.531,0.028,31285050.0,0.199,500000000.0,156000000.0,1.0010000000000001
24,0.031,38.85714285714285,491.14285714285717,38.714285714285715,131.57142857142858,20696.571428571428,771200632.0,0.069,29.0,233.85714285714286,0.081,0.0,0.171,48.0,47.0,0.0,0.412,0.543,0.045,1856225.0,0.195,18000000.0,195000000.0,1.0
25,0.043,111.8142857142857,436.0,32.57142857142857,106.71428571428571,6373.571428571428,529064647.0,0.059,11.0,103.42857142857143,0.119,0.0,0.205,53.0,52.0,0.0,0.432,0.537,0.031,2891968.0,0.443,451857142.85714287,171857142.85714287,1.0
26,0.022,49.5,47114.0,31.857142857142858,112.14285714285714,15901.0,33896600871.0,0.034,252.0,340.0,0.024,0.0,0.07,74.0,70.0,0.0,0.333,0.628,0.039,5176185.0,0.763,84000000.0,495000000.0,1.0
27,0.041,53.88571428571429,1874.0,30.571428571428573,141.42857142857142,20212.85714285714,3877673635.0,0.05,12.0,363.0,0.071,0.0,0.265,60.0,57.0,0.0,0.455,0.515,0.03,15744811.0,0.271,152000000.0,139000000.0,1.0
28,0.045,74.22857142857143,906.0,27.714285714285715,138.42857142857142,21035.0,1743506287.0,0.061,9.0,209.28571428571428,0.103,0.0,0.531,46.0,46.0,0.0,0.458,0.511,0.031,11321496.0,0.146,29000000.0,53000000.0,1.0
29,0.048,75.60000000000001,543.0,30.857142857142858,142.71428571428572,21035.0,2422482318.0,0.063,16.0,244.57142857142858,0.116,0.0,0.15185714285714286,49.0,49.0,0.0,0.461,0.504,0.035,10260577.0,0.284,47000000.0,66000000.0,1.0
30,0.038,35.65714285714286,1236.0,23.571428571428573,123.85714285714286,7127.285714285715,1293653473.0,0.06,24.0,184.0,0.076,0.0,0.256,61.0,58.0,0.0,0.428,0.54,0.032,2708095.0,0.492,341428571.4285714,129571428.57142857,1.0
31,0.017,38.18571428571429,2769.0,34.42857142857143,102.14285714285714,20696.571428571428,4582562398.0,0.037,146.0,266.85714285714283,0.016,0.1,0.208,75.0,68.0,0.2,0.258,0.681,0.061,1186873.0,0.427,732000000.0,203000000.0,1.0
32,0.022,44.92857142857144,33905.0,41.57142857142857,105.0,10238.0,37020609825.0,0.042,54.0,237.42857142857142,0.043,0.0,0.133,70.0,67.0,0.1,0.341,0.613,0.047,28710123.0,0.533,2280000000.0,506000000.0,1.001
33,0.044,40.0,1349.0,32.857142857142854,134.14285714285714,7173.0,4310090791.0,0.062,15.0,227.28571428571428,0.114,0.0,0.19,49.0,46.0,0.0,0.438,0.53,0.032,18275618.0,0.291,74000000.0,122000000.0,1.0
34,0.032,53.885714285714286,1643.0,31.428571428571427,141.42857142857142,978.0,3908645566.0,0.061,126.0,363.0,0.049,0.0,0.153,57.0,53.0,0.0,0.405,0.562,0.033,1897953.0,0.324,193000000.0,86000000.0,1.0
35,0.053,46.34285714285715,796.0,46.0,141.28571428571428,21035.0,1798374533.0,0.064,10.0,220.14285714285714,0.101,0.0,0.12300000000000001,51.0,51.0,0.0,0.479,0.495,0.025,10989815.0,0.162,23000000.0,32000000.0,0.999
36,0.043,61.12857142857143,79182.0,50.57142857142857,102.28571428571429,90596.0,46385996027.0,0.046,17.0,381.57142857142856,0.113,0.0,0.213,47.0,46.0,0.0,0.435,0.537,0.028,122876727.0,0.348,186000000.0,610000000.0,1.0
37,0.041,95.81428571428572,686.0,20.571428571428573,138.42857142857142,20872.714285714286,1734938190.0,0.042,9.0,259.14285714285717,0.108,0.0,0.17,49.0,47.0,0.0,0.466,0.505,0.03,8395577.0,0.149,27000000.0,35000000.0,1.0010000000000001
38,0.036,37.7,48.0,24.285714285714285,135.14285714285714,16159.0,76709305.0,0.089,46.0,215.42857142857142,0.058,0.0,0.397,65.0,62.0,0.5,0.44,0.52,0.04,139428.0,0.534,9900000.0,2200000.0,1.0
39,0.04,43.957142857142856,3938.0,48.0,133.28571428571428,2398.0,4679604922.0,0.046,22.0,214.42857142857142,0.069,0.0,0.12314285714285714,59.0,56.0,0.0,0.451,0.517,0.032,9861679.0,0.403,152000000.0,125000000.0,1.0
40,0.019,58.42857142857142,565.0,36.0,107.57142857142857,20696.571428571428,614877971.0,0.048,371.0,174.14285714285714,0.012,0.1,0.107,82.57142857142857,77.0,0.3,0.282,0.637,0.081,81131.0,0.501,225000000.0,44000000.0,1.0
41,0.044,90.88571428571429,425.0,32.285714285714285,112.85714285714286,21859.571428571428,635874002.0,0.184,28.0,165.57142857142858,0.141,0.0,0.263,39.0,37.0,0.0,0.43,0.546,0.025,4139757.0,0.356,10000000.0,35000000.0,1.001
42,0.049,40.05714285714286,517.0,20.428571428571427,62.714285714285715,16454.571428571428,81672683419.42857,0.08442857142857142,1116.142857142857,350.85714285714283,0.105,0.0,0.10385714285714287,52.0,49.0,0.0,0.472,0.499,0.029,7385416.0,0.332,3118285714.285714,2091000000.0,1.0
43,0.024,41.84285714285715,368611.0,27.0,123.28571428571429,109264.0,132877640158.0,0.083,246.0,254.42857142857142,0.052,0.1,0.145,58.0,54.0,0.2,0.33,0.636,0.034,44000000.0,0.569,3338000000.0,2684000000.0,1.0
44,0.043,38.042857142857144,22360.714285714286,47.57142857142857,137.0,10246.57142857143,31524114393.0,0.06914285714285714,280.0,308.0,0.11,0.09999999999999999,0.14900000000000002,50.0,48.0,0.42857142857142855,0.447,0.523,0.03,6652984.0,0.165,1682857142.857143,2388057142.857143,1.0
45,0.04,44.214285714285715,5534.0,49.857142857142854,148.57142857142858,13340.0,12257299163.0,0.034,15.0,278.42857142857144,0.069,0.0,0.11157142857142857,60.0,56.0,0.0,0.437,0.533,0.03,27729798.0,0.325,5000000.0,55000000.0,1.0
46,0.033,65.41428571428573,1188.0,40.42857142857143,142.14285714285714,19401.428571428572,1524490159.0,0.053,75.0,277.85714285714283,0.08,0.0,0.14,49.0,48.0,0.0,0.446,0.524,0.029,1063715.0,0.227,24000000.0,32000000.0,0.999
47,0.042,44.01428571428572,2651.0,59.57142857142857,117.14285714285714,13390.0,10185786171.0,0.034,10.0,289.7142857142857,0.08,0.0,0.216,51.0,49.0,0.0,0.448,0.523,0.029,34020512.0,0.223,381000000.0,369000000.0,1.0
48,0.039,48.2,1357.0,41.42857142857143,126.42857142857143,2111.0,1294250280.0,0.053,14.0,207.28571428571428,0.077,0.0,0.12885714285714284,54.0,53.0,0.0,0.442,0.529,0.029,4864753.0,0.329,11000000.0,15000000.0,1.0
